,de,en,es,fr,it,pt
a,0.06302680425275815,0.08629865410496122,0.14549280671840728,0.08017735684414233,0.08864835454643263,0.12852829958901338
b,0.02246632471670275,0.017067619563024054,0.05466673415795556,0.010672584324314978,0.007308963629352504,0.010949600045071705
c,0.0298824177459718,0.029943144473920255,0.04516421821153309,0.035734243789484636,0.09674713543524882,0.04080922567666028
d,0.04906469556470929,0.036488392770292186,0.04449504655738186,0.044142617284438565,0.03910538736800797,0.056596875409166164
e,0.15241601117330372,0.11732688433882532,0.09919878857012526,0.14428022742228536,0.08467747872854645,0.11829526460073765
f,0.017253149828189502,0.023642776854633705,0.039439302510624594,0.011204099630160365,0.013725438514000703,0.012850833241072914
g,0.027926627709315414,0.018771208260891858,0.011543520600683511,0.013111014168140783,0.01364289775450698,0.013663357387811532
h,0.03932530381469535,0.04514139716797705,0.007738709052809423,0.010941069865848526,0.009767704294077936,0.00946666117953922
i,0.0800461559897843,0.08591052915971938,0.05921366094530789,0.07682136359254228,0.09726813160950593,0.07044211982877281
j,0.003036283237495212,0.0020781625851037044,0.003147280084157653,0.003892355874900236,0.0006874433472379656,0.004052998924570788
k,0.01752036517824625,0.007099424561189176,0.0019844756831168546,0.0018879031160677592,0.0013785651741423828,0.0020867478637439027
l,0.03902523790516925,0.04275074364271099,0.06400565856290756,0.060818499073523095,0.05399168034192471,0.033458598917142236
m,0.029412328041421985,0.024256195030738732,0.023593024610883785,0.030482389119714397,0.03102117223083255,0.0448561010332038
n,0.09149889769456489,0.0770538457822533,0.05967255612343081,0.07466324658140817,0.09379497769089305,0.05683039060483507
o,0.033889113448424435,0.0637428421575399,0.06495531161521965,0.0593497305593916,0.07365177804299668,0.10545352114761626
p,0.013604035193061638,0.027086545610269817,0.028744602947942833,0.02956545646864136,0.021488889745621294,0.0293108662777833
q,0.00037201235986192613,0.0026650170401030368,0.005695297796520483,0.00850625035427827,0.00385691353565824,0.0069101939098819105
r,0.07875138231760212,0.06163964577866231,0.054909356254745495,0.07148291903058383,0.0534716210122517,0.06948201954530406
s,0.0647925286921012,0.0678619419788157,0.06009066788610102,0.07936082439673199,0.061384809823558255,0.07315039558697674
t,0.06571861559180806,0.08850938670988752,0.04546213330645439,0.07170041327924165,0.06363600812182346,0.05103131038789511
u,0.03869882890692481,0.023860044284964434,0.037150288088836914,0.05578425154481665,0.020454223280402327,0.03969470672124807
v,0.01138632293411008,0.0089937905346429,0.020963331150514283,0.013251646304603432,0.009451014227147407,0.013082764590245863
w,0.013789696279250422,0.014888175430944898,0.0011413682389915436,0.0014207730192711242,0.001026870673134107,0.0010730331851220192
x,0.0018979145836822452,0.00983252637658817,0.0022617357324603224,0.004697147991721401,0.048107771949480724,0.003050067937575424
y,0.0034792730973862377,0.014478788677817397,0.017640850727606586,0.0048704000263462095,0.004935780894955285,0.0013470974468990252
z,0.01171967374345907,0.000988940500146438,0.0016292738652813716,0.001181216337401508,0.006768988028260369,0.0035269489621105672
